,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes
135,Algeria,"Rice, paddy",1997,15000,89,401.22
136,Algeria,Sorghum,1997,40000,89,401.22
137,Algeria,Wheat,1997,8016,89,401.22
138,Algeria,Maize,1998,17222,89,322.84
139,Algeria,Potatoes,1998,160256,89,322.84
140,Algeria,"Rice, paddy",1998,15000,89,322.84
141,Algeria,Sorghum,1998,24500,89,322.84
142,Algeria,Wheat,1998,8847,89,322.84
143,Algeria,Maize,1999,22375,89,654.45
144,Algeria,Potatoes,1999,153532,89,654.45
145,Algeria,"Rice, paddy",1999,13942,89,654.45
146,Algeria,Sorghum,1999,27000,89,654.45
147,Algeria,Wheat,1999,10711,89,654.45
148,Algeria,Maize,2000,36186,89,603.67
149,Algeria,Potatoes,2000,166143,89,603.67
150,Algeria,"Rice, paddy",2000,13052,89,603.67
151,Algeria,Sorghum,2000,69500,89,603.67
152,Algeria,Wheat,2000,9194,89,603.67
153,Algeria,Maize,2001,27175,89,710.11
154,Algeria,Potatoes,2001,147018,89,710.11
155,Algeria,"Rice, paddy",2001,12314,89,710.11
156,Algeria,Sorghum,2001,27750,89,710.11
157,Algeria,Wheat,2001,11104,89,710.11
158,Algeria,Maize,2002,33480,89,816.55
159,Algeria,Potatoes,2002,183774,89,816.55
160,Algeria,"Rice, paddy",2002,12959,89,816.55
161,Algeria,Sorghum,2002,33900,89,816.55
162,Algeria,Wheat,2002,10739,89,816.55
163,Algeria,Maize,2004,31729,89,3747.86
164,Algeria,Potatoes,2004,203585,89,3747.86
165,Algeria,"Rice, paddy",2004,12829,89,3747.86
166,Algeria,Sorghum,2004,43316,89,3747.86
167,Algeria,Wheat,2004,13582,89,3747.86
168,Algeria,Maize,2005,33864,89,3662.87
169,Algeria,Potatoes,2005,216267,89,3662.87
170,Algeria,"Rice, paddy",2005,12998,89,3662.87
171,Algeria,Sorghum,2005,33486,89,3662.87
172,Algeria,Wheat,2005,15057,89,3662.87
173,Algeria,Maize,2006,65668,89,4110.72
174,Algeria,Potatoes,2006,220689,89,4110.72
175,Algeria,"Rice, paddy",2006,12769,89,4110.72
176,Algeria,Sorghum,2006,56728,89,4110.72
177,Algeria,Wheat,2006,15068,89,4110.72
178,Algeria,Maize,2007,85625,89,5390.79
179,Algeria,Potatoes,2007,189927,89,5390.79
180,Algeria,"Rice, paddy",2007,13375,89,5390.79
181,Algeria,Sorghum,2007,119059,89,5390.79
182,Algeria,Wheat,2007,12742,89,5390.79
183,Algeria,Maize,2008,44714,89,11556.12
184,Algeria,Potatoes,2008,236393,89,11556.12
185,Algeria,"Rice, paddy",2008,13952,89,11556.12
186,Algeria,Sorghum,2008,61786,89,11556.12
187,Algeria,Wheat,2008,11038,89,11556.12
188,Algeria,Maize,2009,30914,89,3867.99
189,Algeria,Potatoes,2009,250764,89,3867.99
190,Algeria,"Rice, paddy",2009,14594,89,3867.99
191,Algeria,Sorghum,2009,90465,89,3867.99
192,Algeria,Wheat,2009,15975,89,3867.99
193,Algeria,Maize,2010,25827,89,1295.88
194,Algeria,Potatoes,2010,270526,89,1295.88
195,Algeria,"Rice, paddy",2010,15305,89,1295.88
196,Algeria,Sorghum,2010,30286,89,1295.88
197,Algeria,Wheat,2010,14838,89,1295.88
198,Algeria,Maize,2011,23374,89,13861.76
199,Algeria,Potatoes,2011,292806,89,13861.76
200,Algeria,"Rice, paddy",2011,16081,89,13861.76
201,Algeria,Sorghum,2011,100000,89,13861.76
202,Algeria,Wheat,2011,17405,89,13861.76
203,Algeria,Maize,2012,25583,89,17379.76
204,Algeria,Potatoes,2012,304291,89,17379.76
205,Algeria,"Rice, paddy",2012,16667,89,17379.76
206,Algeria,Sorghum,2012,206000,89,17379.76
207,Algeria,Wheat,2012,17639,89,17379.76
208,Algeria,Maize,2013,33649,89,17278.65
209,Algeria,Potatoes,2013,303218,89,17278.65
210,Algeria,"Rice, paddy",2013,17778,89,17278.65
211,Algeria,Sorghum,2013,60000,89,17278.65
212,Algeria,Wheat,2013,19100,89,17278.65
213,Angola,Cassava,1990,41177,1010,64
214,Angola,Maize,1990,2736,1010,64
215,Angola,Potatoes,1990,40000,1010,64
216,Angola,"Rice, paddy",1990,9512,1010,64
217,Angola,Sweet potatoes,1990,89342,1010,64
218,Angola,Wheat,1990,7995,1010,64
219,Angola,Cassava,1991,40295,1010,79
220,Angola,Maize,1991,4013,1010,79
221,Angola,Potatoes,1991,40000,1010,79
222,Angola,"Rice, paddy",1991,10000,1010,79
223,Angola,Sweet potatoes,1991,83001,1010,79
224,Angola,Wheat,1991,8000,1010,79
225,Angola,Cassava,1992,42295,1010,23
226,Angola,Maize,1992,3778,1010,23
227,Angola,Potatoes,1992,40000,1010,23
228,Angola,"Rice, paddy",1992,9106,1010,23
229,Angola,Sweet potatoes,1992,90000,1010,23
230,Angola,Wheat,1992,8000,1010,23
231,Angola,Cassava,1993,42295,1010,169
232,Angola,Maize,1993,2627,1010,169
233,Angola,Potatoes,1993,70000,1010,169
234,Angola,"Rice, paddy",1993,8000,1010,169
235,Angola,Sweet potatoes,1993,88095,1010,169
236,Angola,Wheat,1993,8876,1010,169
237,Angola,Cassava,1994,58596,1010,25.5
238,Angola,Maize,1994,2463,1010,25.5
239,Angola,Potatoes,1994,90000,1010,25.5
240,Angola,"Rice, paddy",1994,8750,1010,25.5
241,Angola,Sweet potatoes,1994,83192,1010,25.5
242,Angola,Wheat,1994,10000,1010,25.5
243,Angola,Cassava,1995,51000,1010,336
244,Angola,Maize,1995,3517,1010,336
245,Angola,Potatoes,1995,76738,1010,336
246,Angola,"Rice, paddy",1995,14615,1010,336
247,Angola,Sweet potatoes,1995,81138,1010,336
248,Angola,Wheat,1995,11855,1010,336
249,Angola,Cassava,1996,48077,1010,40
250,Angola,Maize,1996,6993,1010,40
251,Angola,Potatoes,1996,70000,1010,40
252,Angola,"Rice, paddy",1996,17500,1010,40
253,Angola,Sweet potatoes,1996,85455,1010,40
254,Angola,Wheat,1996,13738,1010,40
255,Angola,Cassava,1997,44205,1010,40
256,Angola,Maize,1997,5959,1010,40
257,Angola,Potatoes,1997,68571,1010,40
258,Angola,"Rice, paddy",1997,20000,1010,40
259,Angola,Sweet potatoes,1997,78098,1010,40
260,Angola,Wheat,1997,15509,1010,40
261,Angola,Cassava,1998,55728,1010,40
262,Angola,Maize,1998,7396,1010,40
263,Angola,Potatoes,1998,62724,1010,40
264,Angola,"Rice, paddy",1998,20000,1010,40
265,Angola,Sweet potatoes,1998,76256,1010,40
266,Angola,Wheat,1998,17143,1010,40
267,Angola,Cassava,1999,59821,1010,40
268,Angola,Maize,1999,6361,1010,40
269,Angola,Potatoes,1999,54597,1010,40
270,Angola,"Rice, paddy",1999,14235,1010,40
271,Angola,Sweet potatoes,1999,82865,1010,40
272,Angola,Wheat,1999,17391,1010,40
273,Angola,Cassava,2000,82992,1010,40
274,Angola,Maize,2000,5745,1010,40
275,Angola,Potatoes,2000,29885,1010,40
276,Angola,"Rice, paddy",2000,13454,1010,40
277,Angola,Sorghum,2000,3333,1010,40
278,Angola,Soybeans,2000,2333,1010,40
279,Angola,Sweet potatoes,2000,34938,1010,40
280,Angola,Wheat,2000,17023,1010,40
281,Angola,Cassava,2001,94072,1010,40
282,Angola,Maize,2001,5754,1010,40
283,Angola,Potatoes,2001,42552,1010,40
284,Angola,"Rice, paddy",2001,13701,1010,40
285,Angola,Sorghum,2001,3571,1010,40
286,Angola,Soybeans,2001,2500,1010,40
287,Angola,Sweet potatoes,2001,44458,1010,40
288,Angola,Wheat,2001,16667,1010,40
289,Angola,Cassava,2002,110071,1010,40
290,Angola,Maize,2002,6706,1010,40
291,Angola,Potatoes,2002,42754,1010,40
292,Angola,"Rice, paddy",2002,13198,1010,40
293,Angola,Sorghum,2002,3400,1010,40
294,Angola,Soybeans,2002,2857,1010,40
295,Angola,Sweet potatoes,2002,42190,1010,40
296,Angola,Wheat,2002,15455,1010,40
297,Angola,Cassava,2004,125605,1010,40
298,Angola,Maize,2004,5404,1010,40
299,Angola,Potatoes,2004,20150,1010,40
300,Angola,"Rice, paddy",2004,11584,1010,40
301,Angola,Sorghum,2004,3333,1010,40
302,Angola,Soybeans,2004,3600,1010,40
303,Angola,Sweet potatoes,2004,45360,1010,40
304,Angola,Wheat,2004,12442,1010,40
305,Angola,Cassava,2005,117628,1010,40
306,Angola,Maize,2005,6736,1010,40
307,Angola,Potatoes,2005,23646,1010,40
308,Angola,"Rice, paddy",2005,6977,1010,40
309,Angola,Sorghum,2005,3333,1010,40
310,Angola,Soybeans,2005,3793,1010,40
311,Angola,Sweet potatoes,2005,46159,1010,40
312,Angola,Wheat,2005,10946,1010,40
313,Angola,Cassava,2006,117201,1010,40
314,Angola,Maize,2006,4687,1010,40
315,Angola,Potatoes,2006,52148,1010,40
316,Angola,"Rice, paddy",2006,4947,1010,40
317,Angola,Sorghum,2006,4091,1010,40
318,Angola,Soybeans,2006,4286,1010,40
319,Angola,Sweet potatoes,2006,44240,1010,40
320,Angola,Wheat,2006,10000,1010,40
321,Angola,Cassava,2007,115387,1010,40
322,Angola,Maize,2007,5091,1010,40
323,Angola,Potatoes,2007,62138,1010,40
324,Angola,"Rice, paddy",2007,5143,1010,40
325,Angola,Sorghum,2007,4031,1010,40
326,Angola,Soybeans,2007,6883,1010,40
327,Angola,Sweet potatoes,2007,58855,1010,40
328,Angola,Wheat,2007,10000,1010,40
329,Angola,Cassava,2008,148084,1010,40
330,Angola,Maize,2008,7946,1010,40
331,Angola,Potatoes,2008,85085,1010,40
332,Angola,"Rice, paddy",2008,5084,1010,40
333,Angola,Sorghum,2008,929,1010,40
334,Angola,Soybeans,2008,8575,1010,40
335,Angola,Sweet potatoes,2008,65437,1010,40
336,Angola,Wheat,2008,10000,1010,40
337,Angola,Cassava,2009,151759,1010,40
338,Angola,Maize,2009,6614,1010,40
339,Angola,Potatoes,2009,86509,1010,40
340,Angola,"Rice, paddy",2009,6028,1010,40
341,Angola,Sorghum,2009,2480,1010,40
342,Angola,Soybeans,2009,4449,1010,40
343,Angola,Sweet potatoes,2009,66475,1010,40
344,Angola,Wheat,2009,10000,1010,40
345,Angola,Cassava,2010,155782,1010,40
346,Angola,Maize,2010,7200,1010,40
347,Angola,Potatoes,2010,87425,1010,40
348,Angola,"Rice, paddy",2010,7403,1010,40
349,Angola,Sorghum,2010,2814,1010,40
350,Angola,Soybeans,2010,4446,1010,40
351,Angola,Sweet potatoes,2010,63001,1010,40
352,Angola,Wheat,2010,10526,1010,40
353,Angola,Cassava,2011,133649,1010,40
354,Angola,Maize,2011,7376,1010,40
355,Angola,Potatoes,2011,81366,1010,40
356,Angola,"Rice, paddy",2011,8914,1010,40
357,Angola,Sorghum,2011,3320,1010,40
358,Angola,Soybeans,2011,5294,1010,40
359,Angola,Sweet potatoes,2011,65512,1010,40
360,Angola,Wheat,2011,10959,1010,40
361,Angola,Cassava,2012,100073,1010,40
362,Angola,Maize,2012,7770,1010,40
363,Angola,Potatoes,2012,69381,1010,40
364,Angola,"Rice, paddy",2012,7703,1010,40
365,Angola,Sorghum,2012,998,1010,40
366,Angola,Soybeans,2012,1641,1010,40
367,Angola,Sweet potatoes,2012,52954,1010,40
368,Angola,Wheat,2012,11258,1010,40
369,Angola,Cassava,2013,140517,1010,40
370,Angola,Maize,2013,9467,1010,40
371,Angola,Potatoes,2013,63303,1010,40
372,Angola,"Rice, paddy",2013,12744,1010,40
373,Angola,Sorghum,2013,2415,1010,40
374,Angola,Soybeans,2013,4405,1010,40
375,Angola,Sweet potatoes,2013,73409,1010,40
376,Angola,Wheat,2013,9022,1010,40
377,Argentina,Cassava,1990,100000,591,26156
378,Argentina,Cassava,1990,100000,591,26156
379,Argentina,Maize,1990,34608,591,26156
380,Argentina,Maize,1990,34608,591,26156
381,Argentina,Potatoes,1990,202747,591,26156
382,Argentina,Potatoes,1990,202747,591,26156
383,Argentina,"Rice, paddy",1990,36709,591,26156
384,Argentina,"Rice, paddy",1990,36709,591,26156
385,Argentina,Sorghum,1990,28116,591,26156
386,Argentina,Sorghum,1990,28116,591,26156
387,Argentina,Soybeans,1990,21566,591,26156
388,Argentina,Soybeans,1990,21566,591,26156
389,Argentina,Sweet potatoes,1990,131864,591,26156
390,Argentina,Sweet potatoes,1990,131864,591,26156
391,Argentina,Wheat,1990,18947,591,26156
392,Argentina,Wheat,1990,18947,591,26156
393,Argentina,Cassava,1991,100000,591,26156
394,Argentina,Cassava,1991,100000,591,26156
395,Argentina,Maize,1991,40444,591,26156
396,Argentina,Maize,1991,40444,591,26156
397,Argentina,Potatoes,1991,205692,591,26156
398,Argentina,Potatoes,1991,205692,591,26156
399,Argentina,"Rice, paddy",1991,40294,591,26156
400,Argentina,"Rice, paddy",1991,40294,591,26156
401,Argentina,Sorghum,1991,33320,591,26156
402,Argentina,Sorghum,1991,33320,591,26156
403,Argentina,Soybeans,1991,22750,591,26156
404,Argentina,Soybeans,1991,22750,591,26156
405,Argentina,Sweet potatoes,1991,131364,591,26156
406,Argentina,Sweet potatoes,1991,131364,591,26156
407,Argentina,Wheat,1991,18972,591,26156
408,Argentina,Wheat,1991,18972,591,26156
409,Argentina,Cassava,1992,100000,591,26156
410,Argentina,Cassava,1992,100000,591,26156
411,Argentina,Maize,1992,45237,591,26156
412,Argentina,Maize,1992,45237,591,26156
413,Argentina,Potatoes,1992,199039,591,26156
414,Argentina,Potatoes,1992,199039,591,26156
415,Argentina,"Rice, paddy",1992,52075,591,26156
416,Argentina,"Rice, paddy",1992,52075,591,26156
417,Argentina,Sorghum,1992,36217,591,26156
418,Argentina,Sorghum,1992,36217,591,26156
419,Argentina,Soybeans,1992,22915,591,26156
420,Argentina,Soybeans,1992,22915,591,26156
421,Argentina,Sweet potatoes,1992,127273,591,26156
422,Argentina,Sweet potatoes,1992,127273,591,26156
423,Argentina,Wheat,1992,21809,591,26156
424,Argentina,Wheat,1992,21809,591,26156
425,Argentina,Cassava,1993,100000,591,26156
426,Argentina,Cassava,1993,100000,591,26156
427,Argentina,Maize,1993,43552,591,26156
428,Argentina,Maize,1993,43552,591,26156
429,Argentina,Potatoes,1993,210314,591,26156
430,Argentina,Potatoes,1993,210314,591,26156
431,Argentina,"Rice, paddy",1993,43559,591,26156
432,Argentina,"Rice, paddy",1993,43559,591,26156
433,Argentina,Sorghum,1993,39529,591,26156
434,Argentina,Sorghum,1993,39529,591,26156
435,Argentina,Soybeans,1993,21589,591,26156
436,Argentina,Soybeans,1993,21589,591,26156
437,Argentina,Sweet potatoes,1993,122955,591,26156
438,Argentina,Sweet potatoes,1993,122955,591,26156
439,Argentina,Wheat,1993,23272,591,26156
440,Argentina,Wheat,1993,23272,591,26156
441,Argentina,Cassava,1994,100000,591,30195
442,Argentina,Cassava,1994,100000,591,30195
443,Argentina,Maize,1994,42371,591,30195
444,Argentina,Maize,1994,42371,591,30195
445,Argentina,Potatoes,1994,230166,591,30195
446,Argentina,Potatoes,1994,230166,591,30195
447,Argentina,"Rice, paddy",1994,42989,591,30195
448,Argentina,"Rice, paddy",1994,42989,591,30195
449,Argentina,Sorghum,1994,35065,591,30195
450,Argentina,Sorghum,1994,35065,591,30195
451,Argentina,Soybeans,1994,20386,591,30195
452,Argentina,Soybeans,1994,20386,591,30195
453,Argentina,Sweet potatoes,1994,176667,591,30195
454,Argentina,Sweet potatoes,1994,176667,591,30195
455,Argentina,Wheat,1994,20237,591,30195
456,Argentina,Wheat,1994,20237,591,30195
457,Argentina,Cassava,1995,100000,591,37842
458,Argentina,Cassava,1995,100000,591,37842
459,Argentina,Maize,1995,45223,591,37842
460,Argentina,Maize,1995,45223,591,37842
461,Argentina,Potatoes,1995,274272,591,37842
462,Argentina,Potatoes,1995,274272,591,37842
463,Argentina,"Rice, paddy",1995,50306,591,37842
464,Argentina,"Rice, paddy",1995,50306,591,37842
465,Argentina,Sorghum,1995,34588,591,37842
466,Argentina,Sorghum,1995,34588,591,37842
467,Argentina,Soybeans,1995,20446,591,37842
468,Argentina,Soybeans,1995,20446,591,37842
469,Argentina,Sweet potatoes,1995,168000,591,37842
470,Argentina,Sweet potatoes,1995,168000,591,37842
471,Argentina,Wheat,1995,21675,591,37842
472,Argentina,Wheat,1995,21675,591,37842
473,Argentina,Cassava,1996,100000,591,54595
474,Argentina,Cassava,1996,100000,591,54595
475,Argentina,Maize,1996,40397,591,54595
476,Argentina,Maize,1996,40397,591,54595
477,Argentina,Potatoes,1996,228877,591,54595
478,Argentina,Potatoes,1996,228877,591,54595
479,Argentina,"Rice, paddy",1996,51031,591,54595
480,Argentina,"Rice, paddy",1996,51031,591,54595
481,Argentina,Sorghum,1996,38763,591,54595
482,Argentina,Sorghum,1996,38763,591,54595
483,Argentina,Soybeans,1996,21051,591,54595
484,Argentina,Soybeans,1996,21051,591,54595
485,Argentina,Sweet potatoes,1996,170000,591,54595
486,Argentina,Sweet potatoes,1996,170000,591,54595
487,Argentina,Wheat,1996,19344,591,54595
488,Argentina,Wheat,1996,19344,591,54595
489,Argentina,Cassava,1997,100000,591,77691
490,Argentina,Cassava,1997,100000,591,77691
491,Argentina,Maize,1997,45557,591,77691
492,Argentina,Maize,1997,45557,591,77691
493,Argentina,Potatoes,1997,268502,591,77691
494,Argentina,Potatoes,1997,268502,591,77691
495,Argentina,"Rice, paddy",1997,53703,591,77691
496,Argentina,"Rice, paddy",1997,53703,591,77691
497,Argentina,Sorghum,1997,36845,591,77691
498,Argentina,Sorghum,1997,36845,591,77691
499,Argentina,Soybeans,1997,17212,591,77691
500,Argentina,Soybeans,1997,17212,591,77691
501,Argentina,Sweet potatoes,1997,145662,591,77691
502,Argentina,Sweet potatoes,1997,145662,591,77691
503,Argentina,Wheat,1997,22426,591,77691
504,Argentina,Wheat,1997,22426,591,77691
505,Argentina,Cassava,1998,100000,591,62397
506,Argentina,Cassava,1998,100000,591,62397
507,Argentina,Maize,1998,60780,591,62397
508,Argentina,Maize,1998,60780,591,62397
509,Argentina,Potatoes,1998,293744,591,62397
510,Argentina,Potatoes,1998,293744,591,62397
511,Argentina,"Rice, paddy",1998,47762,591,62397
512,Argentina,"Rice, paddy",1998,47762,591,62397
513,Argentina,Sorghum,1998,48105,591,62397
514,Argentina,Sorghum,1998,48105,591,62397
515,Argentina,Soybeans,1998,26937,591,62397
516,Argentina,Soybeans,1998,26937,591,62397
517,Argentina,Sweet potatoes,1998,175055,591,62397
518,Argentina,Sweet potatoes,1998,175055,591,62397
519,Argentina,Wheat,1998,26088,591,62397
520,Argentina,Wheat,1998,26088,591,62397
521,Argentina,Cassava,1999,100000,591,62831.39
522,Argentina,Cassava,1999,100000,591,62831.39
523,Argentina,Maize,1999,53702,591,62831.39
524,Argentina,Maize,1999,53702,591,62831.39
525,Argentina,Potatoes,1999,238938,591,62831.39
526,Argentina,Potatoes,1999,238938,591,62831.39
527,Argentina,"Rice, paddy",1999,57337,591,62831.39
528,Argentina,"Rice, paddy",1999,57337,591,62831.39
529,Argentina,Sorghum,1999,43845,591,62831.39
530,Argentina,Sorghum,1999,43845,591,62831.39
531,Argentina,Soybeans,1999,24450,591,62831.39
532,Argentina,Soybeans,1999,24450,591,62831.39
533,Argentina,Sweet potatoes,1999,143991,591,62831.39
534,Argentina,Sweet potatoes,1999,143991,591,62831.39
535,Argentina,Wheat,1999,23028,591,62831.39
536,Argentina,Wheat,1999,23028,591,62831.39
537,Argentina,Cassava,2000,100000,591,63265.78
538,Argentina,Cassava,2000,100000,591,63265.78
539,Argentina,Maize,2000,54329,591,63265.78
540,Argentina,Maize,2000,54329,591,63265.78
541,Argentina,Potatoes,2000,277566,591,63265.78
542,Argentina,Potatoes,2000,277566,591,63265.78
543,Argentina,"Rice, paddy",2000,47798,591,63265.78
544,Argentina,"Rice, paddy",2000,47798,591,63265.78
545,Argentina,Sorghum,2000,46477,591,63265.78
546,Argentina,Sorghum,2000,46477,591,63265.78
547,Argentina,Soybeans,2000,23312,591,63265.78
548,Argentina,Soybeans,2000,23312,591,63265.78
549,Argentina,Sweet potatoes,2000,151462,591,63265.78
550,Argentina,Sweet potatoes,2000,151462,591,63265.78
551,Argentina,Wheat,2000,24873,591,63265.78
552,Argentina,Wheat,2000,24873,591,63265.78
553,Argentina,Cassava,2001,100000,591,63700.17
554,Argentina,Cassava,2001,100000,591,63700.17
555,Argentina,Maize,2001,54553,591,63700.17
556,Argentina,Maize,2001,54553,591,63700.17
557,Argentina,Potatoes,2001,283768,591,63700.17
558,Argentina,Potatoes,2001,283768,591,63700.17
559,Argentina,"Rice, paddy",2001,57495,591,63700.17
560,Argentina,"Rice, paddy",2001,57495,591,63700.17
561,Argentina,Sorghum,2001,47429,591,63700.17
562,Argentina,Sorghum,2001,47429,591,63700.17
563,Argentina,Soybeans,2001,25846,591,63700.17
564,Argentina,Soybeans,2001,25846,591,63700.17
565,Argentina,Sweet potatoes,2001,155212,591,63700.17
566,Argentina,Sweet potatoes,2001,155212,591,63700.17
567,Argentina,Wheat,2001,24934,591,63700.17
568,Argentina,Wheat,2001,24934,591,63700.17
569,Argentina,Cassava,2002,100000,591,64134.56
